,label,tweet_cleaned,tweet_text
0,YES,"rt <allcaps> <user> : accident <allcaps> -LRB- wellesley , ma <allcaps> <smile> rt <allcaps> <number> east near cedar st - involving a motorcycle and a car - possible lane restrictions","RT @CommuterBoston: ACCIDENT (Wellesley, MA): RT-9 East near Cedar St - involving a motorcycle and a car - possible lane restrictions"
1,YES,rt <allcaps> <user> : accident <allcaps> : i <number> east before i <number> -LRB- exit <hashtag> <number> -RRB- - <number> - car accident with possible lane blockages,RT @CommuterBoston: ACCIDENT: I-290 East before I-495 (Exit #26) - 2-car accident with possible lane blockages
2,NO,opened report via iphone at <number> standard st <url> . road kill on sidewalk .,Opened report via iPhone at 19 Standard St http://t.co/8vc761aCHT. Road kill on sidewalk.
3,YES,rt <allcaps> <user> : accident <allcaps> reporte <allcaps> <smile> i <number> north before granite av -LRB- exit <hashtag> <number> -RRB- - police investigating,RT @CommuterBoston: ACCIDENT REPORTED: I-93 North before Granite Av (Exit #11) - police investigating
4,NO,duduk lebih dari <number> jam sehari berisiko depresi <number> persen lebih tinggi dibandingkan yang hanya duduk <number> jam sehari -LSB- huffingtonpost -RSB-,Duduk lebih dari 7 jam sehari berisiko depresi 47 persen lebih tinggi dibandingkan yang hanya duduk 4 jam sehari [HuffingtonPost]
5,YES,"rt <allcaps> <user> : accident <allcaps> -LRB- providence , ri <allcaps> <smile> i <number> west near gano st - right shoulder blocked","RT @CommuterBoston: ACCIDENT (Providence, RI): I-195 West near Gano St - right shoulder blocked"
6,YES,dedham police looking for suspects after car crashes into verizon store <url>,Dedham Police Looking for Suspects After Car Crashes into Verizon Store http://t.co/u3zrVjliqB
7,NO,<user> we need a do n't block the box ordinance . <repeat> and traffic needs to be fixed on atlantic ave btwn ss <allcaps> tation and the offramps,@NotifyBoston We need a don''t block the box ordinance... And traffic needs to be fixed on Atlantic Ave btwn SStation and the offramps
8,NO,# t-mobile <allcaps> nowe <allcaps> horyzonty <allcaps> : punk 's not dead - wielkie ogldanie filmw we wrocawiu trwa w najleps . <repeat> <url>,# T-MOBILE NOWE HORYZONTY: Punk''s not dead - Wielkie oglądanie filmów we Wrocławiu trwa w najleps... http://t.co/UhtgxQES8x
9,YES,"accident <allcaps> reported <allcaps> -LRB- danvers , ma <allcaps> <smile> rt <allcaps> <number> north off-ramp to i <number> north - use caution","ACCIDENT REPORTED (Danvers, MA): RT-1 North off-ramp to I-95 North - use caution"
10,YES,"rt <allcaps> <user> : accident <allcaps> reported <allcaps> -LRB- danvers , ma <allcaps> <smile> rt <allcaps> <number> north off-ramp to i <number> north - use caution","RT @CommuterBoston: ACCIDENT REPORTED (Danvers, MA): RT-1 North off-ramp to I-95 North - use caution"
11,NO,"look , your voice is lovely but that breath is not . please stop serenading the subway car at <number> am with that vial stench . <hashtag> commuterproblems","Look, your voice is lovely but that breath is not. Please stop serenading the subway car at 8am with that vial stench. #commuterproblems"
12,YES,opened report via android at <number> <number> south st boston <url> . car with smashed window . heard that <number> or four more in the area .,Opened report via Android at 146-184 South St Boston http://t.co/izfT7Oww65. Car with smashed window. heard that 3 or four more in the area.
13,YES,accident <allcaps> : rt <allcaps> <number> north before us <allcaps> <number> n / middlesex tpk -LRB- exit <hashtag> <number> -RRB- - <number> - car accident with reported minor injury - police on scene,ACCIDENT: RT-128 North before US-3 N/Middlesex Tpk (Exit #32) - 2-car accident with reported minor injury - police on scene
14,YES,rt <allcaps> <user> : accident <allcaps> : rt <allcaps> <number> north before us <allcaps> <number> n / middlesex tpk -LRB- exit <hashtag> <number> -RRB- - <number> - car accident with reported minor injury - police on s,RT @CommuterBoston: ACCIDENT: RT-128 North before US-3 N/Middlesex Tpk (Exit #32) - 2-car accident with reported minor injury - police on s…
15,YES,accident <allcaps> : i <number> -LRB- mass pike -RRB- east after rt <allcaps> <number> -LRB- exit <hashtag> <number> -RRB- - <number> - car accident in the breakdown lane,ACCIDENT: I-90 (Mass Pike) East after RT-122 (Exit #11) - 2-car accident in the breakdown lane
16,YES,rt <allcaps> <user> : accident <allcaps> : i <number> -LRB- mass pike -RRB- east after rt <allcaps> <number> -LRB- exit <hashtag> <number> -RRB- - <number> - car accident in the breakdown lane,RT @CommuterBoston: ACCIDENT: I-90 (Mass Pike) East after RT-122 (Exit #11) - 2-car accident in the breakdown lane
17,YES,"disabled <allcaps> vehicle <allcaps> -LRB- chelsea , ma <allcaps> <smile> rt <allcaps> <number> north near carter st - left lane blocked","DISABLED VEHICLE (Chelsea, MA): RT-1 North near Carter St - left lane blocked"
18,NO,is tyler zeller a legitimate building block for boston celtics ' future ? - bleacher report <url> <hashtag> nba <allcaps> <allcaps> <hashtag> bostonceltics,Is Tyler Zeller a Legitimate Building Block for Boston Celtics'' Future? - Bleacher Report http://t.co/60v8mmseIX #NBA #BostonCeltics
19,NO,"roadwork <allcaps> -LRB- groton , ct <allcaps> <smile> i <number> sb <allcaps> between clarence b. sharp hwy -LRB- exit <hashtag> <number> -RRB- and u.s. sub base / gales ferry -LRB- exit <hashtag> <number> -RRB- - three right lanes blocked","ROADWORK (Groton, CT): I-95 SB between Clarence B. Sharp Hwy (Exit #87) and U.S. Sub Base/Gales Ferry (Exit #86) -three right lanes blocked"
20,NO,iced coffee from <user> boat shoes because there 's a boat involved and we are good to go <hashtag> sendsorboni <hashtag> whales <url>,Iced coffee from @DunkinDonuts boat shoes because there''s a boat involved and we are good to go #sendsorboni #whales http://t.co/spRgajNxZL
21,NO,"when you 're dead , you do n't know you 're dead . it 's the same way when you 're stupid .","When you''re dead, you don''t know you''re dead. It''s the same way when you''re stupid."
22,NO,rt <allcaps> <user> : iced coffee from <user> boat shoes because there 's a boat involved and we are good to go <hashtag> sendsorboni <hashtag> whales http :,RT @sorbonified: Iced coffee from @DunkinDonuts boat shoes because there''s a boat involved and we are good to go #sendsorboni #whales http:…
23,NO,belting out like a cowboy as i open my car door to a dead silent parking garage filled with miserable people . <hashtag> morningmerrimack,Belting out like a cowboy as I open my car door to a dead silent parking garage filled with miserable people. #MorningMerrimack
24,NO,<user> <user> since i ca n't afford cable i ca n't see rice 's nose growing . <number> item gasoline how about keeping our gas in this country ?,@cspanwj @RepTomRice  since I can''t afford cable I can''t see Rice''s nose growing. 1 item Gasoline How about keeping our gas in this country?
25,YES,"<hashtag> boston <hashtag> news old world meets new after amish buggy , car crash in maine : no one was injured in the wednesday m . <repeat> <url>","#Boston #News Old World Meets New After Amish Buggy, Car Crash in Maine: No one was injured in the Wednesday m... http://t.co/UD7kX5wrBR"
26,NO,<user> there is no a / c on orange line car <number> i tweeted about the same car on <number> / <number> glad to see you listened to me and fixed it . <repeat> not <allcaps> .,@MBTA there is no a/c on Orange Line car 01255. I tweeted about the same car on 715/14. Glad to see you listened to me and fixed it...NOT.
27,NO,"rt <allcaps> <user> : hey <user> , one of your drivers with horrible <hashtag> roadrage got out of his truck twice and approached a females car window ! <repeat> i hav","RT @BFinBOS: Hey @FedEx, one of your drivers with horrible #roadrage got out of his truck twice and approached a females car window!! I hav…"
28,NO,rt <allcaps> <user> : van die mensen die spontaan beginnen te knorren tijdens het lachen . <repeat> <hashtag> irritant,RT @MidasWolfNL: Van die mensen die spontaan beginnen te knorren tijdens het lachen... #irritant
29,NO,"opened graffiti report via iphone at <number> bennington st <url> . traffic signal at bennington and swift , south side . thank . <repeat>","Opened Graffiti report via iPhone at 460 Bennington St http://t.co/VRGeS0WfkS. Traffic signal at bennington and swift, south side. thank..."
30,NO,exciting new fragrance launching this fall <hashtag> dianavreeland <hashtag> fragrance collection exclusively <user> <user> <url>,Exciting new fragrance launching this fall #DianaVreeland #Fragrance collection exclusively @neimanmarcus @Bergdorfs http://t.co/pokp50U7Vr
31,NO,an estimated <number> % of car owners in the united states say they never wash their car .,An estimated 16% of car owners in the United States say they never wash their car.
32,NO,<user> that makes my car look like it doesnt belong on the road,@Stacks_On_Dex that makes my car look like it doesnt belong on the road
33,NO,closed report at n <number> e <number> <url> . case resolved . vehicle left .,Closed report at N42.36 E71.06 http://t.co/q2KU0h7E77. Case resolved. vehicle left.
34,NO,opened report via iphone at <number> park dr <url> . construction vehicle blocking bike parking and infringing upon parklet in . <repeat>,Opened report via iPhone at 508 Park Dr http://t.co/yJBikwLLoh. Construction vehicle blocking bike parking and infringing upon parklet in...
35,NO,<user> hello ! can you tell us the car # of this red line so we can have this checked ?,@remixeitak Hello! Can you tell us the car # of this Red Line so we can have this checked?
36,NO,happy thursday ! here 's a service tip for you : be sure to wash your car regularly & apply protective wax to protect the exterior of the car .,Happy Thursday! Here''s a service tip for you: Be sure to wash your car regularly & apply protective wax to protect the exterior of the car.
37,NO,"i saw a dead stinky skunk in front of my job this morning . the other day , it was a dead monarch butterfly . if . <repeat> <url>","I saw a dead stinky skunk in front of my job this morning. The other day, it was a dead Monarch butterfly. If... http://t.co/6Jo1BvhU4Y"
38,YES,<user> yeah i got into a car accident last night at like the end of your street on forest,@jmingolelli13 yeah i got into a car accident last night at like the end of your street on forest
39,NO,so far this week i 've come across two female police officers who could n't direct traffic . the feminist in me is sad .,So far this week I''ve come across two female police officers who couldn''t direct traffic. The feminist in me is sad.
40,NO,highway led signs today : secure vehicle cargo or face fines . guessing that 's related to the ax that wound up in a windshield yesterday .,Highway led signs today: Secure vehicle cargo or face fines. Guessing that''s related to the ax that wound up in a windshield yesterday.
41,NO,was just forced to carry my own gas tanks to my car at home depot at <number> am when the store was dead . <user> <hashtag> customerservicefail,Was just forced to carry my own gas tanks to my car at Home Depot at 9 am when the store was dead. @HomeDepot #customerservicefail
42,NO,"finally realising that my new car may get dirty , certainly with the boyf smudging white chocolate in my seat cover . <repeat> what a babe .","Finally realising that my new car may get dirty, certainly with the boyf smudging white chocolate in my seat cover..what a babe."
43,YES,rt <allcaps> <user> : two injured as overturned cement truck closes road in walpole : <url> <url>,RT @BostonDotCom: Two Injured as Overturned Cement Truck Closes Road in Walpole: http://t.co/TLaHoUy7Sq http://t.co/hF2ryNfd2s
44,NO,break free by ariana grande is a straight fire jam . unavoidably awesome .,Break Free by Ariana Grande is a straight fire jam. Unavoidably awesome.
45,NO,can michael get off the car please he 's gon na dent the car and he 's wearing boots and it 's not a flat surface he probably fell michael babe,Can Michael get off the car please he''s gonna dent the car and he''s wearing boots and it''s not a flat surface he probably fell Michael babe
46,NO,<user> kill haystack . kill it with fire .,@jvandersande Kill Haystack. Kill it with fire.
