,label,tweet_cleaned,tweet_text
0,NO,"high domestic fuel subsidies increases reliance on russian oil , gas exports . <url>","High Domestic Fuel Subsidies Increases Reliance On Russian Oil, Gas Exports. http://t.co/5pJmYBxo8z"
1,YES,wishart - accident bothways greenwood street at mount gravatt capalaba road,Wishart - accident bothways Greenwood Street at Mount Gravatt Capalaba Road
2,YES,<hashtag> brisbane reports of road traffic crash greenwood street with mount gravatt capalaba road wishart <hashtag> bnetraffic,#Brisbane Reports of Road Traffic Crash Greenwood Street with Mount Gravatt Capalaba Road Wishart #bnetraffic
3,YES,wishart - accident westbound mount gravatt - capalaba road at greenwood street,Wishart - accident westbound Mount Gravatt - Capalaba Road at Greenwood Street
4,NO,rt <allcaps> <user> : video <allcaps> : find out how <user> pulled up from his concussion in this week 's bupa recovery report <url>,RT @brisbanelions: VIDEO: Find out how @sammayes7 pulled up from his concussion in this week''s Bupa Recovery Report http://t.co/p0Fdq7K7tp …
5,NO,"incident : mount <allcaps> gravatt <allcaps> capalaba <allcaps> road <allcaps> wishart <allcaps> from wednesday , july <number> <number> <number> am <allcaps> <url> <hashtag> bnetraffic <hashtag> trafficnetwork","Incident: MOUNT GRAVATT CAPALABA ROAD WISHART From Wednesday, July 30, 2014 07:10:00 AM http://t.co/JeDRqMKkBG #bnetraffic #trafficnetwork"
6,NO,"metro <allcaps> : centenary <allcaps> highway <allcaps> sumner <allcaps> from wednesday , july <number> <number> <number> am <allcaps> <url> <hashtag> incident <hashtag> qld <hashtag> traffic","METRO: CENTENARY HIGHWAY SUMNER From Wednesday, July 30, 2014 07:07:00 AM http://t.co/xjB4C7wF1C #incident #qld #traffic"
7,YES,reports of road traffic crash <user> & sth from injune <url>,Reports of Road Traffic Crash @Carnarvon_Hwy & Sth from  Injune http://t.co/24CVVfXg6I
8,YES,reports of road traffic crash & fire services incident wood st & wallace st <hashtag> warwick <hashtag> qldtraffic,Reports of Road Traffic Crash & Fire Services Incident Wood St & Wallace St #Warwick #qldtraffic
9,YES,"reports of road traffic crash hilton rd , <hashtag> gympie <allcaps> <allcaps>","Reports of Road Traffic Crash  Hilton Rd ,#GYMPIE"
10,YES,"reports of road traffic crash hilton rd , <hashtag> gympie <allcaps> <allcaps>","Reports of Road Traffic Crash Hilton Rd ,#GYMPIE"
11,NO,is emphasis on recent gas price experience in australia alone correct ? good to see dae <allcaps> report going global though ! <url>,Is emphasis on recent gas price experience in Australia alone correct? Good to see DAE report going global though! http://t.co/IfuhlABnja
12,YES,reports of road traffic crash -LRB- truck rollover -RRB- along maryvalley <allcaps> rd <allcaps> gilldora <allcaps> <url>,Reports of Road Traffic Crash (Truck rollover) along MARYVALLEY RD GILLDORA http://t.co/pHOlOdMlBW
13,NO,lmfao <hashtag> dead da pic kill me,lmfao #dead da pic kill me
14,YES,reports of road traffic crash -LRB- truck rollover -RRB- maryvalley <allcaps> rd <allcaps> gilldora <allcaps> <url>,Reports of Road Traffic Crash (Truck Rollover ) MARYVALLEY RD GILLDORA http://t.co/OlGx178pHm
15,NO,morningside - slow traffic northbound wynnum road at thynne road,Morningside - slow traffic northbound Wynnum Road at Thynne Road
16,NO,<hashtag> brisbane updated report of aviation incident ems <allcaps> units attending nathan road runcorn <url>,#Brisbane Updated Report of Aviation Incident EMS units attending Nathan Road Runcorn http://t.co/mfmscU0dpS
17,YES,<hashtag> goldcoast report of road traffic crash christina ryan way arundel <url>,#goldcoast Report of Road Traffic Crash Christina Ryan Way Arundel http://t.co/RO41hOA6do
18,YES,<hashtag> goldcoast report of road traffic crash christina ryan way arundel <url>,#goldcoast Report of Road Traffic Crash Christina Ryan Way Arundel http://t.co/57PbrLaPVj
19,YES,<hashtag> brisbane reports of road traffic crash earl street at juliette street greenslopes <hashtag> bnetraffic,#Brisbane Reports of Road Traffic Crash Earl Street at Juliette Street Greenslopes #bnetraffic
20,YES,"metro <allcaps> : hale <allcaps> street <allcaps> red <allcaps> hill <allcaps> from wednesday , july <number> <number> <number> am <allcaps> <url> <hashtag> incident <hashtag> qld <hashtag> traffic","METRO: HALE STREET RED HILL From Wednesday, July 30, 2014 07:38:00 AM http://t.co/tMMp5hBXrI #incident #qld #traffic"
21,NO,yatala - traffic congestion southbound pacific motorway at computer road,Yatala - traffic congestion southbound Pacific Motorway at Computer Road
22,NO,"southcoast : pacific <allcaps> highway <allcaps> robina <allcaps> from wednesday , july <number> <number> <number> am <allcaps> <url> <hashtag> incident <hashtag> qld <hashtag> traffic","SouthCoast: PACIFIC HIGHWAY ROBINA From Wednesday, July 30, 2014 07:48:00 AM http://t.co/e9cN3H7PZG #incident #qld #traffic"
23,NO,"southcoast : pacific <allcaps> motorway <allcaps> stapylton <allcaps> from wednesday , july <number> <number> <number> am <allcaps> <url> <hashtag> incident <hashtag> qld <hashtag> traffic","SouthCoast: PACIFIC MOTORWAY STAPYLTON From Wednesday, July 30, 2014 07:59:00 AM http://t.co/uHRrXXiQTR #incident #qld #traffic"
24,NO,"southcoast : pacific <allcaps> motorway <allcaps> helensvale <allcaps> from wednesday , july <number> <number> <number> am <allcaps> <url> <hashtag> incident <hashtag> qld <hashtag> traffic","SouthCoast: PACIFIC MOTORWAY HELENSVALE From Wednesday, July 30, 2014 08:05:00 AM http://t.co/LK5C8ErzT3 #incident #qld #traffic"
25,NO,"metro <allcaps> : centenary <allcaps> highway <allcaps> jindalee <allcaps> from wednesday , july <number> <number> <number> am <allcaps> <url> <hashtag> incident <hashtag> qld <hashtag> traffic","METRO: CENTENARY HIGHWAY JINDALEE From Wednesday, July 30, 2014 08:08:00 AM http://t.co/7R05X9rc6E #incident #qld #traffic"
26,NO,indooroopilly - slow traffic northbound western freeway at centenary highway - clear <allcaps>,Indooroopilly - slow traffic northbound Western Freeway at Centenary Highway - CLEAR
27,NO,mount ommaney - slow traffic eastbound centenary highway at dandenong road - clear <allcaps>,Mount Ommaney - slow traffic eastbound Centenary Highway at Dandenong Road - CLEAR
28,YES,geebung - accident westbound robinson road at murphy road,Geebung - accident westbound Robinson Road at Murphy Road
29,YES,<hashtag> brisbane reports of road traffic crash murphy & robinson roads geebung <url>,#Brisbane Reports of Road Traffic Crash Murphy & Robinson Roads Geebung http://t.co/EjqPhLiGyc
30,YES,geebung - accident southbound murphy road at robinson road,Geebung - accident southbound Murphy Road at Robinson Road
31,YES,crash . <repeat> murphy rd ib <allcaps> blocked at robinson rd - geebung ...,Crash ..  Murphy Rd IB blocked at Robinson Rd - Geebung . . . .
32,YES,wishart - accident bothways greenwood street at mount gravatt capalaba road - clear <allcaps>,Wishart - accident bothways Greenwood Street at Mount Gravatt Capalaba Road - CLEAR
33,YES,traffic reporter <user> gives us more details on the light plane crash at runcorn - <user> news at <number> am .,Traffic reporter @AmeliaDeVita1 gives us more details on the light plane crash at Runcorn - @4kqbreakfast news at 8.30am.
34,NO,"incident : wembley <allcaps> road <allcaps> berrinba <allcaps> from wednesday , july <number> <number> <number> am <allcaps> <url> <hashtag> bnetraffic <hashtag> trafficnetwork","Incident: WEMBLEY ROAD BERRINBA From Wednesday, July 30, 2014 07:39:00 AM http://t.co/lkCAFy1yxz #bnetraffic #trafficnetwork"
35,NO,mango hill - slow traffic southbound bruce highway at anzac avenue - clear <allcaps>,Mango Hill - slow traffic southbound Bruce Highway at Anzac Avenue - CLEAR
