,label,tweet_cleaned,tweet_text
0,NO,"<user> lol should have let it burn and collect insurance money to buy a new car . how about those hawks , damn !","@TuneChiBabii Lol should have let it burn and collect insurance money to buy a new car. How about those hawks, damn!"
1,NO,driving <allcaps> while <allcaps> distracted <allcaps> - the <allcaps> leading <allcaps> cause <allcaps> of <allcaps> car <allcaps> accidents <allcaps> in <allcaps> the <allcaps> u.s <url> <hashtag> newblog <hashtag> blog <hashtag> accidents <hashtag> injury <hashtag> chicago,DRIVING WHILE DISTRACTED-THE LEADING CAUSE OF CAR ACCIDENTS IN THE U.S http://t.co/IdY4o6m5B0 #newblog #blog #accidents #injury #chicago
2,NO,"dear neighbor , plz turn off your damn car alarm before i walk over and set your fucking car on fire . i am trying to study","Dear neighbor, plz turn off your damn car alarm before I walk over and set your fucking car on fire. I am trying to study "
3,YES,"rt <allcaps> <user> : if i 'm <number> minutes late for a date because i got into a car accident , that 's an excuse . if i 'm late because i overslept ,","RT @Felonious_munk: if i''m 10 minutes late for a date because i got into a car accident, that''s an excuse. if i''m late because i overslept,"
4,NO,rt <allcaps> <user> : he died as he live <smile> headbanging to neurosis in an upside down car while on fire .,RT @TheWolfman: He died as he lived: headbanging to Neurosis in an upside down car while on fire.
5,YES,elderly man critically hurt in chatham fire : -LRB- stmw <allcaps> -RRB- an elderly man is in critical condition after a fire that . <repeat> <url>,Elderly Man Critically Hurt In Chatham Fire: (STMW)  An elderly man is in critical condition after a fire that... http://t.co/OFvsCD66RB
6,NO,he died as he live <smile> headbanging to neurosis in an upside down car while on fire .,He died as he lived: headbanging to Neurosis in an upside down car while on fire.
7,NO,<user> go die in a fire deadspin,@Deadspin go die in a fire deadspin
8,NO,rt <allcaps> <user> : just rsvp <allcaps> ed to a bridal shower so i have until <number> pm on april <number> rd to get into a serious car accident,RT @IamEnidColeslaw: just RSVPed to a bridal shower so I have until 2:00 pm on April 3rd to get into a serious car accident
9,NO,"today i gave myself a paper cut , stabbed myself , fell down , sent out embarrassing snapchats and almost got in a car accident . not my best .","Today I gave myself a paper cut, stabbed myself, fell down, sent out embarrassing snapchats and almost got in a car accident. Not my best."
10,YES,"rt <allcaps> <user> : indiana state police trooper , <number> others injured in i <number> crash <url> <url>","RT @ABC7Chicago: Indiana State Police trooper, 2 others injured in I-65 crash http://t.co/n2CJWRR42c http://t.co/7iR5IIZY7E"
11,NO,there it is . the gasoline to inflame the fire . <hashtag> bulls rt <allcaps> <user> : funk has hunch <hashtag> rose back this season <url>,There it is. The gasoline to inflame the fire. #Bulls RT @ESPNChiBulls: Funk has hunch #Rose back this season http://t.co/zWWLojKYfI
12,YES,just almost started a fire in my apartment via cigarette but i almost set my highschool on fire that way so i guess i 'm not that surprised,Just almost started a fire in my apartment via cigarette but I almost set my highschool on fire that way so I guess I''m not that surprised
13,NO,<user> : <user> : my car out here lookin bout ashy as hell ? is car slang for ankles or what ? <repeat> naw nigga ! my vehicle,@MixedMamba12: @MeAndMyBugatti: My car out here lookin bout ashy as hell? Is car slang for ankles or what?? Naw nigga! My vehicle
14,NO,rt <allcaps> <user> : the block feature was the best thing to ever happen to the iphone,RT @iPhoneTeam: The block feature was the best thing to ever happen to the iPhone
