,label,tweet_cleaned,tweet_text
0,NO,"man next to me telling hairdresser ` i got a road bike , not just any road bike an italian one with lycra & everything i love being a mamil <allcaps> '","Man next to me telling hairdresser ''I got a road bike, not just any road bike an Italian one with Lycra & everything I love being a MAMIL''"
1,NO,rt <allcaps> <user> : they 'll need to kill him . <repeat> again <url> jack hayes : dead man rising <hashtag> asmsg <allcaps> <allcaps> <hashtag> us <allcaps> <allcaps> <hashtag> nsa <allcaps> <allcaps> <hashtag> bynr <allcaps> <allcaps> <hashtag> uk <allcaps> <allcaps> <hashtag> cia <allcaps> <allcaps> ht,RT @JackHayesAuthor: They''ll Need to Kill Him... Again http://t.co/SBi5wCwwTv Jack Hayes: Dead Man Rising #ASMSG #US #NSA #BYNR #UK #CIA htâ€¦
2,YES,rt <allcaps> <user> : taiwan gas explosion tore up entire street - watch our report from the scene <url> <url>,RT @BBCWorld: Taiwan gas explosion tore up entire street - watch our report from the scene http://t.co/3OBTrJrm30 http://t.co/BCm2dLNIAi
3,YES,rt <allcaps> <user> : oscar pistorius ' brother carl is in intensive care following a car accident . <repeat> <url> <url>,RT @hellomag: Oscar Pistorius'' brother Carl is in intensive care following a car accident... http://t.co/naLxsUldPA  http://t.co/g5CCMrNOpo
4,NO,petrol prices rocket as fuel duty hike looms <url>,Petrol prices rocket as fuel duty hike looms http://t.co/YLkoIUDMvW
5,NO,<user> : <user> shut up i can say what i want you dead ting.marwa you 're buttress haha how dare you call someone a dead ting,â€œ@neymarwa: @nadiashnry_14 shut up I can say what I want you dead ting.â€marwa you''re buttress haha how dare you call someone a dead ting ðŸ˜‚ðŸ˜³
6,NO,"you can get an exciting car <hashtag> deal <hashtag> easily from here , <hashtag> london <hashtag> islington <hashtag> secondhand <hashtag> car <hashtag> prices recommended , <url>","You can get an exciting car #deal #easily from here, #London #Islington #secondhand #car #prices Recommended, http://t.co/hTBlosQDFb"
7,NO,i just <allcaps> had <allcaps> to <allcaps> delete <allcaps> a tweet <allcaps> due <allcaps> to <allcaps> fear <allcaps> because <allcaps> <user> reported <allcaps> it <allcaps> to <allcaps> the <allcaps> police <allcaps> hahaha <allcaps> im <allcaps> dying <allcaps>,I JUST HAD TO DELETE A TWEET DUE TO FEAR BECAUSE @WElRD_FlSHES REPORTED IT TO THE POLICE HAHAHA IM DYING
8,YES,<user> that led me to a story about a man who died after punching a car window . what <allcaps> ?,@Doncasterisokay That led me to a story about a man who died after punching a car window. WHAT?
9,YES,rt <allcaps> <user> : oscar pistorius ' brother ` in intensive care ' after car crash <url> <url>,RT @Independent: Oscar Pistorius'' brother ''in intensive care'' after car crash http://t.co/Bl09J2t8G9 http://t.co/LjxBY4onnB
10,NO,what car is it?is it auto or manual,What car is it?is it auto or manual
11,NO,"setelah jadi musafir , akhirnya kembali soclean haha -LRB- at prima auto service car wash -RRB- -LSB- pic -RSB- <url>","Setelah jadi musafir, akhirnya kembali soclean haha (at Prima Auto Service Car Wash) [pic] â€” https://t.co/rmDLcw2nel"
12,NO,"arcade fire cover jane 's addiction 's been caught stealing , steal fans ' cell phones : <elong> arcade firecontinued . <repeat> <url>","Arcade Fire Cover Jane''s Addiction''s Been Caught Stealing, Steal Fans'' Cell Phones:   Arcade FireÂ continued ... http://t.co/gwClXOc4Gf"
13,NO,"arcade fire cover jane 's addiction 's been caught stealing , steal fans ' cell phones : <elong> arcade firecontinued . <repeat> <url>","Arcade Fire Cover Jane''s Addiction''s Been Caught Stealing, Steal Fans'' Cell Phones:   Arcade FireÂ continued ... http://t.co/81po3SqwLO"
14,YES,rt <allcaps> <user> : china factory blast leaves at least <number> dead - video report <url>,RT @guardian: China factory blast leaves at least 65 dead - video report  http://t.co/R3s34A3r1P
15,NO,"<user> you think . <repeat> man , it 's scary out there . if they do that now , it 's just telling us that police have a license to kill .","@justbevan you think?..... Man, it''s scary out there. If they do that now, it''s just telling us that police have a license to kill."
16,NO,axe flies through car windshield on highway <url>,Axe Flies Through Car Windshield On Highway http://t.co/QrdA7VyIlS
17,NO,rt <allcaps> <user> : storms like this make me want to go outside and do the break out scene from shawshank redemption <hashtag> freeandy <url>,RT @benlovesit: Storms like this make me want to go outside and do the break out scene from Shawshank Redemption #FreeAndy http://t.co/Xg45â€¦
18,NO,car deals that wo n't break the bank . <hashtag> london <hashtag> islington <hashtag> <number> ndhandcars what a deal ! <url> <hashtag> fb,Car deals that won''t break the bank. #London #Islington #2ndhandcars What a deal! http://t.co/e2cZ69AtZM #fb
19,NO,meet the pop hopeful who filmed debut track called fire <allcaps> at eastbourne pier just <number> days before inferno destroyed it : <url>,Meet the pop hopeful who filmed debut track called FIRE at Eastbourne Pier â€” just 2 days before inferno destroyed it: http://t.co/GHFVRQwM7V
20,NO,rt <allcaps> <user> : meet the pop hopeful who filmed debut track called fire <allcaps> at eastbourne pier just <number> days before inferno destroyed it :,RT @TheSunNewspaper: Meet the pop hopeful who filmed debut track called FIRE at Eastbourne Pier â€” just 2 days before inferno destroyed it: â€¦
21,NO,electricity generation : fg <allcaps> to offset <number> bn naira debt owed gas suppliers <url>,Electricity Generation: FG To Offset 25bn Naira Debt Owed Gas Suppliers http://t.co/BtrLj8x3zG
22,NO,rt <allcaps> kurachan <number> ? <url> <hashtag> kyoto # <hashtag> dance <hashtag> salsa # # # # # # # <hashtag> kyoto <hashtag> salsa <hashtag> dance <hashtag> diet #,RT Kurachan12 é‹å‹•ä¸è¶³ã—ã¦ã„ã¾ã›ã‚“ã‹ ?  http://t.co/i1Op15x5zm #kyoto #äº¬éƒ½ #dance  #salsa #ãƒ€ãƒ³ã‚¹ #ã‚µãƒ«ã‚µ #ç¾Žå®¹ #å¥åº· #ç¤¾äº¤ãƒ€ãƒ³ã‚¹ #ãƒ€ã‚¤ã‚¨ãƒƒãƒˆ # #kyoto #salsa #dance #diet #
23,NO,well done # nicola # adams . such a shame your opponent was a sore loser . did n't think the young woman displayed a professional attitude,Well done # Nicola # Adams.  Such a shame your opponent was a sore loser.  Didn''t think the young woman displayed a professional attitude
24,NO,rt <allcaps> <user> : the <number> / <number> th rule for car buying is simple . spend no more than <number> / <number> th your gross annual income on the purchase price of a car .,RT @iDaywa: The 1/10th rule for car buying is simple. Spend no more than 1/10th your gross annual income on the purchase price of a car.
25,YES,this car crash in washington d.c. in <number> colorised by sanna dullaway <url> <url>,This car crash in Washington D.C. in 1921. Colorised by Sanna Dullaway http://t.co/1H9VTuOsyC http://t.co/njJPzhvWiE  â˜¼
26,YES,ukraine <allcaps> - mh <allcaps> <number> airline <allcaps> crash <allcaps> ukraine crisis : new fighting hampers mh <allcaps> <number> crash probe <url>,UKRAINE - MH17 AIRLINE CRASH â€¢ Ukraine Crisis: New Fighting Hampers MH17 Crash Probe http://t.co/UIbvcllH6H
27,NO,rt <allcaps> <user> : # toronto <hashtag> takeoffjustlogo # peacefully rally vs # cavalli # manipulating values <number> his advantage <user> <user> htt,RT @mosharifizad: # Toronto #Takeoffjustlogo # peacefully rally vs # Cavalli # manipulating values 4 his advantage @iciotarior @CBCNews httâ€¦
28,NO,<user> nia this is your favourite car i love this car <url>,@Theniasharma Nia this is your favourite car I love this car http://t.co/W2D1h51qYF
29,NO,rt <allcaps> <user> : democracy mt <allcaps> <user> police blocked off bima square saying they wo n't allow demonstration against war tonight http : / /,RT @DebzyBee: Democracy MT @TheLefternWall Police blocked off Bima Square saying they won''t allow demonstration against war tonight http://â€¦
30,YES,emt <allcaps> s break into hot car in hoboken after mistaking doll for baby : doll rescued from hot car <url>,EMTs Break Into Hot Car In Hoboken After Mistaking Doll For Baby: Doll Rescued From Hot Carâ€¦ http://t.co/rMn64hwWN3
31,YES,"<number> dead , <number> wounded in weekend shootings - cbs <allcaps> local : <number> dead , <number> wounded in weekend shootingscbs <allcaps> localearlier , . <repeat> <url>","1 Dead, 16 Wounded In Weekend Shootings - CBS Local: 1 Dead, 16 Wounded In Weekend ShootingsCBS LocalEarlier, ... http://t.co/XF4KDujMNU"
32,NO,<user> haha ! thank you naked man with amazing bottom ! <repeat> awesome fire show from you too . next time we shall set fire to the phones -RRB-,@AndromedaCircus Haha! Thank you naked man with amazing bottom!!Awesome fire show from you too. Next time we shall set fire to the phones )
33,YES,rt <allcaps> <user> : sussex police say fire at eastbourne pier may have been started deliberately <url> <url>,RT @BBCNews: Sussex Police say fire at Eastbourne Pier may have been started deliberately http://t.co/jsmwHQFLN1 http://t.co/WxJxADQs3k
34,NO,rt <allcaps> <user> : this is fiona from exclusive cafe two doors from my gym . an added touch for the real trainer who needs proper fuel . http,RT @Fitness4Lucas: This is Fiona from Exclusive cafe two doors from my gym. An added touch for the real trainer who needs proper fuel. httpâ€¦
35,NO,security <allcaps> belt <allcaps> / police <allcaps> belt <allcaps> pouches <allcaps> / <url> <hashtag> belt <hashtag> handcuffs <hashtag> police <hashtag> security <hashtag> sia <hashtag> closeprotection <hashtag> securitykit <hashtag> doo,SECURITY BELT / POLICE BELT POUCHES / http://t.co/tcyjmBZu4h #belt #handcuffs #police #security #sia #closeprotection #securitykit #doo
36,YES,rt <allcaps> <user> : rebels in east ukraine ambush troop column near site of flight mh <allcaps> <number> crash - casualties reported <url>,RT @BBCBreaking: Rebels in east Ukraine ambush troop column near site of flight MH17 crash - casualties reported http://t.co/ILrgr0UmTv
37,NO,the question is to go and get junk food or not to go and get junk food,The question is to go and get junk food or not to go and get junk food
38,NO,"on the road to soan <allcaps> , this truck is rockin ! <url>","On the road to SOAN, this truck is rockin! http://t.co/0eh26m1K1V"
39,NO,"photo : on the road to soan <allcaps> , this truck is rockin ! -LRB- at m <number> junction <number> -RRB- <url>","Photo: On the road to SOAN, this truck is rockin! (at M1 Junction 22) http://t.co/JHak60pL22"
40,YES,police are investigating what caused multiple motorcycles to crash early saturday - koki <allcaps> fox <allcaps> <number> <url>,Police are investigating what caused multiple motorcycles to crash early Saturday - KOKI FOX 23 http://t.co/ZqubbQLDKA
41,YES,investigators comb ukraine crash site : experts returned to the flight <number> crash site for a second successive da . <repeat> <url>,Investigators Comb Ukraine Crash Site: Experts returned to the Flight 17 crash site for a second successive da... http://t.co/xEnZVPIBL0
42,NO,rt <allcaps> <user> : car people hate cyclists . <repeat> cyclists hate car people . <repeat> it 's the circle of life . <repeat> -LRB- lion king style -RRB-,RT @JoshUJWorld: Car people hate cyclists......cyclists hate car people ......it''s the circle of life.. (lion king style) â˜ï¸
43,NO,i 'm in the worst traffic jam i 've ever been in in my life . got out of the car and went to the shop for a beer and some nuts at one point .,I''m in the worst traffic jam I''ve ever been in in my life. Got out of the car and went to the shop for a beer and some nuts at one point.
44,YES,g-dragon and taeyang 's car gets into a car accident en route to performance <url>,G-Dragon and Taeyang''s car gets into a car accident en route to performance http://t.co/iK4nucHOHd
45,NO,i liked a <user> video from <user> <url> website traffic london - traffic metrics system,I liked a @YouTube video from @webtrafficgenie http://t.co/1hNkIPGEkK Website Traffic London - Traffic Metrics System
