,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,tweet_cleaned
0,347686624563429378,"RT @CBCAlerts: Canmore, Alta. declares state of emergency due to flooding  - with some residents being moved to community centre #Alberta",Media,Affected individuals,Related and informative,"rt <allcaps> <user> : canmore , alta . declares state of emergency due to flooding - with some residents being moved to community centre <hashtag> alberta"
1,347766337344503808,"RT @GlobalCalgary: If you are in #Canmore and need help, an emergency line has been set up. Pls call 403-678-1551. #abstorm #abflood",Media,Caution and advice,Related and informative,"rt <allcaps> <user> : if you are in <hashtag> canmore and need help , an emergency line has been set up . pls call <number> <number> <number> <hashtag> abstorm <hashtag> abflood"
2,347779159327637504,RT @metrocalgary: UPDATE: Latest from the @cityofcalgary and surrounding area on #abflood: http://t.co/lkA9L9zSvT #yyc,Government,Caution and advice,Related and informative,rt <allcaps> <user> : update <allcaps> : latest from the <user> and surrounding area on <hashtag> abfloo <smile> <url> <hashtag> yyc
3,347783236191129600,"RT @GlobalCalgary: GALLERY: Incredible photos of flooding around southern Alberta, inc. Canmore, Bragg Creek, Chain Lakes: http://t.co/E79r…",Media,Not applicable,Related and informative,"rt <allcaps> <user> : gallery <allcaps> : incredible photos of flooding around southern alberta , inc. canmore , bragg creek , chain lakes : <url>"
4,347793432514801665,RT @nenshi: Major risk of flooding in Calgary. Follow directions here: http://t.co/7dLx8aZptf and stay tuned. Please RT widely. #YYC,Government,Caution and advice,Related and informative,rt <allcaps> <user> : major risk of flooding in calgary . follow directions here : <url> and stay tuned . please rt <allcaps> widely . <hashtag> yyc <allcaps> <allcaps>
5,347793818403344384,RT @weathernetwork: RT: Residents of #HighRiver AB asked to evacuate immediately. Severe and rapid flooding occurring. #abstorm #abflood,Media,Affected individuals,Related and informative,rt <allcaps> <user> : rt <allcaps> : residents of <hashtag> highriver ab <allcaps> asked to evacuate immediately . severe and rapid flooding occurring . <hashtag> abstorm <hashtag> abflood
6,347802211222433792,RT @BrockWHarrison: . @ElectDanielle and other volunteers now stranded inside High River General Hospital until water recedes. #abflood #ab…,NGOs,Affected individuals,Related and informative,rt <allcaps> <user> : . <user> and other volunteers now stranded inside high river general hospital until water recedes . <hashtag> abflood <hashtag> ab
7,347804916514951168,Lots of #abflood updates on our liveblog http://t.co/tJK7Cx7yiR,Media,Other Useful Information,Related and informative,lots of <hashtag> abflood updates on our liveblog <url>
8,347808955663257600,RT @aldjohnmar: Our first Emergency Shelter will be the Southland Leisure Centre. #yyc #yyccc #yycflood,NGOs,Infrastructure and utilities,Related and informative,rt <allcaps> <user> : our first emergency shelter will be the southland leisure centre . <hashtag> yyc <hashtag> yyc <elong> <hashtag> yycflood
9,347812738900320256,'Move to high ground:' Rapid flooding forces evacuation of High River http://t.co/XFwGrt6lXm #yyc #Calgary #yycre #reincal,Media,Caution and advice,Related and informative,` move to high groun <smile> ' rapid flooding forces evacuation of high river <url> <hashtag> yyc <hashtag> calgary <hashtag> yycre <hashtag> reincal
10,347815712670236672,RT @News1130radio: Due to widespread flooding parts of Calgary are being evacuated.  Ppl are asked to find shelter and to be prepared for t…,Media,Caution and advice,Related and informative,rt <allcaps> <user> : due to widespread flooding parts of calgary are being evacuated . ppl are asked to find shelter and to be prepared for t
11,347819248455913473,"RT @TarzanDan: If you are in #Canmore &amp; need help, an emergency line has been set up. Please call 403-678-1551 #abstorm #abflood",NGOs,Caution and advice,Related and informative,"rt <allcaps> <user> : if you are in <hashtag> canmore & need help , an emergency line has been set up . please call <number> <number> <number> <hashtag> abstorm <hashtag> abflood"
12,347828509512724480,Calgary is now in a local state of emergency. Lots of evacuations and road closures. Stay safe!!  #yycflood #yyc,Eyewitness,Infrastructure and utilities,Related and informative,calgary is now in a local state of emergency . lots of evacuations and road closures . stay safe ! <repeat> <hashtag> yycflood <hashtag> yyc
13,347830497596030976,RT @SunNewsNetwork: UPDATED: Parts of Calgary evacuated after heavy rains flood southern Alberta http://t.co/2isLI0fVwR,Media,Affected individuals,Related and informative,rt <allcaps> <user> : update <allcaps> <smile> parts of calgary evacuated after heavy rains flood southern alberta <url>
14,347831286116794368,RT @brennancreative: This sign in Okotoks reminds of Walking Dead/zombie apocalypse stuff. #abflood http://t.co/3QmOIb18Oz,Eyewitness,Affected individuals,Related and informative,rt <allcaps> <user> : this sign in okotoks reminds of walking dead / zombie apocalypse stuff . <hashtag> abflood <url>
15,347831613293473793,“@Van_city_Nucks: All people evacuating the flooding in Alberta can just use Taylor Halls forehead as a life raft and get to safety”@RimSan_,Outsiders,Other Useful Information,Related and informative,<user> : all people evacuating the flooding in alberta can just use taylor halls forehead as a life raft and get to safety <user>
16,347834360541614080,RT @GlobalCalgary: The town of #Sundre has declared a state of local emergency due to flooding along the Red Deer River. #abflood,Media,Caution and advice,Related and informative,rt <allcaps> <user> : the town of <hashtag> sundre has declared a state of local emergency due to flooding along the red deer river . <hashtag> abflood
17,347834796774400000,RT @mikesbloggity: Water now flowing over the pathway to Prince's Island Park. #abflood http://t.co/7hT6o9QDyO,Eyewitness,Infrastructure and utilities,Related and informative,rt <allcaps> <user> : water now flowing over the pathway to prince 's island park . <hashtag> abflood <url>
