,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,tweet_cleaned
0,211040709124440064,#Intern #US #TATTOO #Wisconsin #Ohio #NC #PA #Florida #Colorado #Iowa #Nevada #Virginia #NV #mlb Travel Destinations---&gt;http://t.co/TIHBJKF2,Not labeled,Not labeled,Not related,<hashtag> intern <hashtag> us <allcaps> <allcaps> <hashtag> tattoo <allcaps> <allcaps> <hashtag> wisconsin <hashtag> ohio <hashtag> nc <allcaps> <allcaps> <hashtag> pa <allcaps> <allcaps> <hashtag> florida <hashtag> colorado <hashtag> iowa <hashtag> nevada <hashtag> virginia <hashtag> nv <allcaps> <allcaps> <hashtag> mlb travel destinations -- > <url>
1,211111710294163457,RT @Jack4Ward: Get in on the fun every Thursday with the @csindependent #FunBrief http://ow.ly/br9Wi #CoSprings #Colorado,Not labeled,Not labeled,Not related,rt <allcaps> <user> : get in on the fun every thursday with the <user> <hashtag> funbrief <url> <hashtag> cosprings <hashtag> colorado
2,211157222699433985,Welcome to our newest STUDENTathlete- Reagan Biechler from Colorado Springs (CO) ’13- Baseball. http://t.co/lzeiYMpq,Not labeled,Not labeled,Not related,welcome to our newest student <allcaps> athlete - reagan biechlerfrom colorado springs -LRB- co <allcaps> -RRB- <number> - baseball . <url>
3,211162553659830272,Denver Post: #Colorado governor signs bill creating rules for public access to ballots http://t.co/Hmp1wQ8P #opengov,Not labeled,Not labeled,Not related,denver post : <hashtag> colorado governor signs bill creating rules for public access to ballots <url> <hashtag> opengov
4,211216962162933761,"Pretty sure I'm going to live in Manitou Springs, CO someday. Maybe live here and work in Colorado Springs?? #theplan",Not labeled,Not labeled,Not related,"pretty sure i 'm going to live in manitou springs , co <allcaps> someday . maybe live here and work in colorado springs ? <repeat> <hashtag> theplan"
5,211229146611843072,Flying over the beautiful snow capped #mountains of #colorado #livingsocial #iphonesia #hdr #instagood  http://t.co/tCgmQ2xI,Not labeled,Not labeled,Not related,flying over the beautiful snow capped <hashtag> mountains of <hashtag> colorado <hashtag> livingsocial <hashtag> iphonesia <hashtag> hdr <hashtag> instagood <url>
6,211232623706640384,It isn't a beach but just as great #colorado #summer  http://t.co/NPi5wJ9n,Not labeled,Not labeled,Not related,it is n't a beach but just as great <hashtag> colorado <hashtag> summer <url>
7,211281973870727170,#colorado. Told you its #amazing http://t.co/6z0Qq7qe,Not labeled,Not labeled,Not applicable,<hashtag> colorado . told you its <hashtag> amazing <url>
8,211333983269695488,RT @xRedRoverx: #Colorado #news #crime 3 bodies found in La Plata County Friday | http://t.co/BNPYWOBu http://t.co/iLUtRFED via @9news,Not labeled,Not labeled,Not related,rt <allcaps> <user> : <hashtag> colorado <hashtag> news <hashtag> crime <number> bodies found in la plata county friday | <url> <url> via <user>
9,211380242227539968,checkmate payday loans colorado springs http://t.co/8pSlcpVV,Not labeled,Not labeled,Not related,checkmate payday loans colorado springs <url>
10,211437603529039872,"Free #HTC #Wildfire S, 250 minutes, 5,000 texts and 500MB data for only £7.50 per month at #Carphone.. #deals http://t.co/jpvMwt6r",Not labeled,Not labeled,Not related,"free <hashtag> htc <allcaps> <allcaps> <hashtag> wildfire s , <number> minutes , <number> texts and <number> mb <allcaps> data for only <number> per month at <hashtag> carphone . <repeat> <hashtag> deals <url>"
11,211490716004777984,Wildly popular Tough Mudder adventure race gives #Colorado ski areas some summertime crowds: http://t.co/Lyj5MxDC,Not labeled,Not labeled,Not related,wildly popular tough mudder adventure race gives <hashtag> colorado ski areas some summertime crowds : <url>
12,211511062573490177,day 9- your view. there's no other view like one on top of a mountain. i miss camp so much. #colorado  http://t.co/3RaO8P7b,Not labeled,Not labeled,Not related,day <number> - your view . there 's no other view like one on top of a mountain . i miss camp so much . <hashtag> colorado <url>
13,211545661387194369,#Colorado http://t.co/PIEZEJM8,Not labeled,Not labeled,Not related,<hashtag> colorado <url>
14,211557401231495171,RT @northfortynews: Tanker helicopter heads up to Paradise Park to drop water on #HighParkFire. http://t.co/7atRS5cy,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : tanker helicopter heads up to paradise park to drop water on <hashtag> highparkfire . <url>
15,211561134187225089,The Champ http://t.co/FzYGdD4O Statue Pro Rodeo Hall Of Fame Colorado Springs #photo #statue #Rodeo,Not labeled,Not labeled,Not related,the champ <url> statue pro rodeo hall of fame colorado springs <hashtag> photo <hashtag> statue <hashtag> rodeo
16,211565974422425600,#Evacuation center Cache La Poudre Middle School 3515 West County Road 54G in Laporte. #Colorado #Wildfire,Government,Caution and advice,Related and informative,<hashtag> evacuation center cache la poudre middle school <number> west county road <number> g in laporte . <hashtag> colorado <hashtag> wildfire
17,211571531841675265,Frontier Ranch here I come!!!! #timetodrive24hours #tooexcitedtobebored #Colorado @Rochelleee24 @YoungLifeCRHS,Not labeled,Not labeled,Not related,frontier ranch here i come ! <repeat> <hashtag> timetodrive <number> hours <hashtag> tooexcitedtobebored <hashtag> colorado <user> <user>
18,211601680507207681,Normal people watching horse related programming today are watching the Belmont Stakes. @Lilah86 is watching #Wildfire.,Not labeled,Not labeled,Not related,normal people watching horse related programming today are watching the belmont stakes . <user> is watching <hashtag> wildfire .
19,211607187653533697,20F degrees cooler tomorrow in North Central &amp; Northeastern #Colorado. Highs in the mid and upper 70'S. #HighParkFire #COwx #Heat #Coolbreak,Media,Other Useful Information,Related and informative,<number> f degrees cooler tomorrow in north central & northeastern <hashtag> colorado . highs in the mid and upper <number> 's . <hashtag> highparkfire <hashtag> co <allcaps> wx <hashtag> heat <hashtag> coolbreak
20,211610941526253568,The only good thing about driving down Arapahoe road... The view. #Colorado,Not labeled,Not labeled,Not related,the only good thing about driving down arapahoe road . <repeat> the view . <hashtag> colorado
