,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,tweet_cleaned
0,376843697943769088,#Longmont #CO The Tiny Tim Center is now #hiring. Book Keeper http://t.co/l4m5iSOmTw #tweetmyjobs,Not labeled,Not labeled,Not related,<hashtag> longmont <hashtag> co <allcaps> <allcaps> the tiny tim center is now <hashtag> hiring . book keeper <url> <hashtag> tweetmyjobs
1,378011169883037697,"RT @dlfluegge: Crazy Flooding in Boulder, Colorado http://t.co/sg0iIdqCeY via @youtube",Media,Sympathy and support,Related - but not informative,"rt <allcaps> <user> : crazy flooding in boulder , colorado <url> via <user>"
2,378020179214491649,Here's the #boulderflood video that's circulating around. Right in my old neighborhood west of CU! #StaySafe  http://t.co/eMPbOeBk7M”,Outsiders,Other Useful Information,Related and informative,here 's the <hashtag> boulderflood video that 's circulating around . right in my old neighborhood west of cu <allcaps> ! <hashtag> staysafe <url>
3,378026101588496385,RT @passantino: Video: Severe flooding hits near Univ. of Colorado at Boulder http://t.co/7jkJogCjDH,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : video : severe flooding hits near univ. of colorado at boulder <url>
4,378029784204206080,"Crazy Flooding in Boulder, Colorado http://t.co/3IgoyaAfWE",Media,Other Useful Information,Related and informative,"crazy flooding in boulder , colorado <url>"
5,378038458024865792,Thoughts and prayers out to those in Boulder who may not get to Amante for morning coffee. #boulderflood,Outsiders,Sympathy and support,Related - but not informative,thoughts and prayers out to those in boulder who may not get to amante for morning coffee . <hashtag> boulderflood
6,378042534863192064,what... “@AmyZPhD: @JuggleGod They are saying South Boulder Creek near Eldo Sprgs is past #100yearflood levels #boulderflood”,Outsiders,Other Useful Information,Related and informative,what . <repeat> <user> : <user> they are saying south boulder creek near eldo sprgs is past <hashtag> <number> yearflood levels <hashtag> boulderflood
7,378043411468537856,"GO TO http://t.co/ypwkPv2eDM  AND★RT★FOR★NEW★FOLLOWERS★✔#BestRapper,#PutinsFavoriteFlicks,#Remember911,#boulderflood, http://t.co/o5XvzjcpxD",Not labeled,Not labeled,Not related,"go <allcaps> to <allcaps> <url> andrtfornewfollowers <allcaps> <hashtag> bestrapper , #putinsfavoriteflicks , #remember <number> #boulderflood , <url>"
8,378043948352024576,RT @markloiseau: Boulder's floodplain map http://t.co/Y4wcyyo7k7 #boulderflood,Outsiders,Other Useful Information,Related and informative,rt <allcaps> <user> : boulder 's floodplain map <url> <hashtag> boulderflood
9,378044472661000192,Who's tryin to tube on boulder creek right now? #boulderflood,Outsiders,Other Useful Information,Related - but not informative,who 's tryin to tube on boulder creek right now ? <hashtag> boulderflood
