,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,tweet_cleaned
0,407129710162759680,NYPD calling Level 3 mobilization (borough-wide) for possible train derailment near Spuyten Duyvil Metro North station in the Bronx,Government,Other Useful Information,Related and informative,nypd <allcaps> calling level <number> mobilization -LRB- borough-wide -RRB- for possible train derailment near spuyten duyvil metro north station in the bronx
1,407132226753921024,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : breaking <allcaps> : police say a metro-north passenger train has derailed in new york city ; some cars in water .
2,407132251882020865,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : breaking <allcaps> : police say a metro-north passenger train has derailed in new york city ; some cars in water .
3,407132730070433792,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : breaking <allcaps> : police say a metro-north passenger train has derailed in new york city ; some cars in water .
4,407132738450640896,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : breaking <allcaps> : police say a metro-north passenger train has derailed in new york city ; some cars in water .
5,407132918793142272,RT @ajamlive: Police: A Metro-North passenger train has derailed in New York City; some cars in water-@AP #breaking,Media,Infrastructure and utilities,Related and informative,rt <allcaps> <user> : police : a metro-north passenger train has derailed in new york city ; some cars in water - <user> <hashtag> breaking
6,407133485040959488,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Infrastructure and utilities,Related and informative,rt <allcaps> <user> : breaking <allcaps> : police say a metro-north passenger train has derailed in new york city ; some cars in water .
7,407133636002316288,RT @BreakingNews: Police say a Metro-North passenger train has derailed in New York City; some cars in water - @AP,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : police say a metro-north passenger train has derailed in new york city ; some cars in water - <user>
8,407133636027088897,RT @YourAnonNews: Metro-North passenger train has derailed in New York City; some cars in water: AP,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : metro-north passenger train has derailed in new york city ; some cars in water : ap <allcaps>
9,407134302896685056,RT @FreedomWeekly: BREAKING: Police Say a Metro-North Passenger Train Has Derailed in New York City; Some Cars in Water #NYC  http://t.co/z…,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : breaking <allcaps> : police say a metro-north passenger train has derailed in new york city ; some cars in water <hashtag> nyc <allcaps> <allcaps> <url>
10,407134701355556865,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : breaking <allcaps> : police say a metro-north passenger train has derailed in new york city ; some cars in water .
11,407135812883841024,"RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7",Media,Affected individuals,Related and informative,"rt <allcaps> <user> : a metro-north passenger train has derailed in new york city , and a number of injuries are reported <url>"
12,407136064525316096,RT @BreakingNews: Unknown number of injuries in New York City train derailment near Metro-North Spuyten Duyvil station in the Bronx - @CBSN…,Media,Affected individuals,Related and informative,rt <allcaps> <user> : unknown number of injuries in new york city train derailment near metro-north spuyten duyvil station in the bronx - <user>
13,407136341332611072,RT @ecthompsonmd: RT @AP: MORE: A woman at the scene of an NYC train derailment says some train cars are in the water: http://t.co/GWhgXC3j…,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : rt <allcaps> <user> : more <allcaps> : a woman at the scene of an nyc <allcaps> train derailment says some train cars are in the water : <url>
14,407136425222864896,"RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7",Media,Affected individuals,Related and informative,"rt <allcaps> <user> : a metro-north passenger train has derailed in new york city , and a number of injuries are reported <url>"
15,407136676902084608,THERE HAS BEEN ONE FATALITY SO FAR AT THE METRO NORTH DERAILMENT IN BRONX NYC #BREAKING,Outsiders,Affected individuals,Related and informative,there <allcaps> has <allcaps> been <allcaps> one <allcaps> fatality <allcaps> so <allcaps> far <allcaps> at <allcaps> the <allcaps> metro <allcaps> north <allcaps> derailment <allcaps> in <allcaps> bronx <allcaps> nyc <allcaps> <hashtag> breaking <allcaps> <allcaps>
16,407136739816660992,Train derailed in New York! Hope everyone's ok👏,Outsiders,Sympathy and support,Related - but not informative,train derailed in new york ! hope everyone 's ok
17,407136748192690176,"RT @BreakingNews: Numerous emergency vehicles responding to New York City train derailment, some trains submerged in water, eyewitness clai…",Media,Other Useful Information,Related and informative,"rt <allcaps> <user> : numerous emergency vehicles responding to new york city train derailment , some trains submerged in water , eyewitness clai"
18,407136999850926080,"Train crash in New York, helicopter crash in Glasgow, Paul Walker has died...this really is an awful week!",Outsiders,Other Useful Information,Related - but not informative,"train crash in new york , helicopter crash in glasgow , paul walker has died . <repeat> this really is an awful week !"
19,407137196966445056,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Infrastructure and utilities,Related and informative,rt <allcaps> <user> : breaking <allcaps> : police say a metro-north passenger train has derailed in new york city ; some cars in water .
20,407137947767414784,RT @BreakingNews: Police say a Metro-North passenger train has derailed in New York City; some cars in water - @AP,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : police say a metro-north passenger train has derailed in new york city ; some cars in water - <user>
21,407138836947296258,Train na naman!!--&gt;“@ANCALERTS: Police say a Metro-North passenger train has derailed in New York City; some cars in water | via @AP”,Outsiders,Infrastructure and utilities,Related and informative,train na naman ! <repeat> -- > <user> : police say a metro-north passenger train has derailed in new york city ; some cars in water | via <user>
22,407138862117691392,"RT @BreakingNews: Train involved in derailment was the 05:54 a.m. train from Poughkeepsie, New York, due at Grand Central at 07:43 a.m. - @…",Media,Infrastructure and utilities,Related and informative,"rt <allcaps> <user> : train involved in derailment was the <number> a.m. train from poughkeepsie , new york , due at grand central at <number> a.m. - @"
23,407138941825871872,"RT @BreakingNews: Train involved in derailment was the 05:54 a.m. train from Poughkeepsie, New York, due at Grand Central at 07:43 a.m. - @…",Media,Other Useful Information,Related and informative,"rt <allcaps> <user> : train involved in derailment was the <number> a.m. train from poughkeepsie , new york , due at grand central at <number> a.m. - @"
24,407139025720713216,RT @nycjim: Wow. “@NJerzyFireAlert: AERIAL PICTURE METRO NORTH TRAIN DERAILMENT IN BRONX NYC. @PzFeed http://t.co/yU2ZxnFY9r”,Outsiders,Other Useful Information,Related and informative,rt <allcaps> <user> : wow . <user> : aerial <allcaps> picture <allcaps> metro <allcaps> north <allcaps> train <allcaps> derailment <allcaps> in <allcaps> bronx <allcaps> nyc <allcaps> . <user> <url>
25,407139105412489216,"Now a train has derailed in New York...what is happening to this world?!,",Outsiders,Sympathy and support,Related - but not informative,"now a train has derailed in new york . <repeat> what is happening to this world ! <repeat> ,"
26,407139168306089984,RT @PzFeed: TRAIN DERAILMENT IN NEW YORK CITY: -5 TRAINS DERAILED -TRAIN IN THE WATER -3 DEAD -MULTIPLE INJURED http://t.co/TG6cAxsxyS,Media,Affected individuals,Related and informative,rt <allcaps> <user> : train <allcaps> derailment <allcaps> in <allcaps> new <allcaps> york <allcaps> city <allcaps> : <number> trains <allcaps> derailed <allcaps> - train <allcaps> in <allcaps> the <allcaps> water <allcaps> <number> dead <allcaps> - multiple <allcaps> injured <allcaps> <url>
27,407139432534650880,"RT @roddymansfield: Developing: Passenger train derailed in New York, carriage in the water: http://t.co/uePyUzZqVF",Media,Other Useful Information,Related and informative,"rt <allcaps> <user> : developing : passenger train derailed in new york , carriage in the water : <url>"
28,407139520627605504,RT @BreakingNews: Photo: Carriages in New York City train derailment - via Instagram user squintysabre http://t.co/gVtVcivKUV,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : photo : carriages in new york city train derailment - via instagram user squintysabre <url>
29,407139575145193473,"RT @digtriad: RT: @AP Police say a Metro-North passenger train has derailed in NYC, some cars in water",Media,Infrastructure and utilities,Related and informative,"rt <allcaps> <user> : rt <allcaps> : <user> police say a metro-north passenger train has derailed in nyc <allcaps> , some cars in water"
30,407139654861733888,RT @YourAnonNews: Metro-North passenger train has derailed in New York City; some cars in water: AP,Media,Infrastructure and utilities,Related and informative,rt <allcaps> <user> : metro-north passenger train has derailed in new york city ; some cars in water : ap <allcaps>
31,407139751326515200,RT @MichaelSkolnik: aerial photo of the train derailment (via @SheldonDutes4NY) #MetroNorth http://t.co/POLVgPKADG,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : aerial photo of the train derailment -LRB- via <user> -RRB- <hashtag> metronorth <url>
32,407140619556229120,"Officials confirm major train derailment in Bronx, NY. Metro north train, multiple injuries reported. Stay with @WFSBnews for updates.",Media,Affected individuals,Related and informative,"officials confirm major train derailment in bronx , ny <allcaps> . metro north train , multiple injuries reported . stay with <user> for updates ."
33,407140808299536384,Waking up to news of a train derailment in NYC. Praying for all affected.,Outsiders,Sympathy and support,Related - but not informative,waking up to news of a train derailment in nyc <allcaps> . praying for all affected .
34,407140921512165376,RT @YourAnonNews: Metro-North passenger train has derailed in New York City; some cars in water: AP,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : metro-north passenger train has derailed in new york city ; some cars in water : ap <allcaps>
35,407141286412845056,"@roddymansfield: Developing: Passenger train derailed in New York, carriage in the water: http://t.co/slVUVsBUzi Fucking Trevor. #GTA",Outsiders,Infrastructure and utilities,Related and informative,"<user> : developing : passenger train derailed in new york , carriage in the water : <url> fucking trevor . <hashtag> gta <allcaps> <allcaps>"
