,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,tweet_cleaned
0,291852896990023680,"RT @AdmireAriana: Heat wave in Australia. Flooding in Jakarta, Indonesia. The world is going wrong.",Not labeled,Not labeled,Not related,"rt <allcaps> <user> : heat wave in australia . flooding in jakarta , indonesia . the world is going wrong ."
2,291921947787395072,Jakarta floods leave hundreds of thousands homeless - Australia Network News - ABC News http://t.co/ZsAHzAG9,Media,Not applicable,Related and informative,jakarta floods leave hundreds of thousands homeless - australia network news - abc <allcaps> news <url>
3,292248541500420096,"Bush fires in Australia, deadly flooding in Indonesia, and probably far worse winters elsewhere, but no, 1000+ schools closed, flights",Outsiders,Other Useful Information,Related and informative,"bush fires in australia , deadly flooding in indonesia , and probably far worse winters elsewhere , but no , <number> + schools closed , flights"
4,293071229055799297,VIDEO - A world of contrasts. We freeze whilst Australia swelters &amp; is threatened by flash floods: http://t.co/JPSx1mLv #weather #geography,Outsiders,Affected individuals,Related - but not informative,video <allcaps> - a world of contrasts . we freeze whilst australia swelters & is threatened by flash floods : <url> <hashtag> weather <hashtag> geography
5,293186081652871169,Probe opens way for Queensland floods class action - The Australian: Brisbane TimesProbe opens way for Queenslan... http://t.co/JqtGOnlY,Media,Affected individuals,Related and informative,probe opens way for queensland floods class action - the australian : brisbane timesprobe opens way for queenslan . <repeat> <url>
6,293189592297906176,"RT @WeFightForFair: Media release from this morning's press conference on our #qldfloods class action. We have a strong case, get on boa ...",Media,Caution and advice,Related and informative,"rt <allcaps> <user> : media release from this morning 's press conference on our <hashtag> qldfloods class action . we have a strong case , get on boa . <repeat>"
7,293237197652520960,RT @cycloneupdate: Predicted rainfall over the next 48 hours in FNQ. It's gonna get very wet.#bigwet http://t.co/Kl3aR7E8,Media,Caution and advice,Related and informative,rt <allcaps> <user> : predicted rainfall over the next <number> hours in fnq <allcaps> . it 's gon na get very wet . <hashtag> bigwet <url>
8,293253358318391297,RT @abcnews: Thousands of Queensland flood victims join possible class action against State Government http://t.co/Z0gNZRB3,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : thousands of queensland flood victims join possible class action against state government <url>
9,293266591339147264,RT @QLDOnline: Qld floods class action 'could set record' http://t.co/FGWVocFO #qld,Media,Other Useful Information,Related and informative,rt <allcaps> <user> : qld floods class action ` could set record ' <url> <hashtag> qld
10,293803277689180160,Queensland flood victims join action against Government: -- Delivered by Feed43 service http://t.co/vQXafWmL,Outsiders,Affected individuals,Related and informative,queensland flood victims join action against government : -- delivered by feed <number> service <url>
11,293846957166833664,Current centre of Ex-TC Oswald is 40km WNW of Cooktown and moving in a SSE direction at about 18 kilometres per hour. #bigwet #qld,Media,Caution and advice,Related and informative,current centre of ex-tc <allcaps> oswald is <number> km wnw <allcaps> of cooktown and moving in a sse <allcaps> direction at about <number> kilometres per hour . <hashtag> bigwet <hashtag> qld
12,293904771461562368,RT @QPSmedia: #bigwet Bruce H'Way Tully to Silky Oak closed.,Media,Infrastructure and utilities,Related and informative,rt <allcaps> <user> : <hashtag> bigwet bruce h ` way tully to silky oak closed .
14,293925403238748161,"#QLD  Police: #bigwet Bruce H'Way near Mobil Service Station &amp; Butler St, Tully... http://t.co/pNxFvjoC",Government,Caution and advice,Related and informative,"<hashtag> qld <allcaps> <allcaps> police : <hashtag> bigwet bruce h ` way near mobil service station & butler st , tully . <repeat> <url>"
15,293961394578128896,PLEASE be patient &amp; drive carefully - it's better to arrive home from work a little late today than not make it at all. #bigwet #cairns,Outsiders,Caution and advice,Related - but not informative,please <allcaps> be patient & drive carefully - it 's better to arrive home from work a little late today than not make it at all . <hashtag> bigwet <hashtag> cairns
16,293965794398859265,23/16:03 EST Flood Warning - Coastal Rivers - North (QLD) http://t.co/ca0eFXz0 #BIGWET #QLD UPDATED ITEM http://t.co/jlvcwuUY,Eyewitness,Caution and advice,Related and informative,<number> / <number> est <allcaps> flood warning - coastal rivers - north -LRB- qld <allcaps> -RRB- <url> <hashtag> bigwet <allcaps> <allcaps> <hashtag> qld <allcaps> <allcaps> updated <allcaps> item <allcaps> <url>
17,293978649948979201,RT @tsvnq: Water across several parts of Hugh Street. Avoid if possible. #townsville #nq #bigwet,Eyewitness,Caution and advice,Related and informative,rt <allcaps> <user> : water across several parts of hugh street . avoid if possible . <hashtag> townsville <hashtag> nq <hashtag> bigwet
18,293980021461241856,Can we keep him? MT @Henry_B68: You know the#bigwet is here when you find frogs in your home. http://t.co/xDNY12RP,Not labeled,Not labeled,Not related,can we keep him ? mt <allcaps> <user> : you know the <hashtag> bigwet is here when you find frogs in your home . <url>
19,294162075255726080,"Weather in Australia is stupid! Heat wave and fires in one place, flooding in another and heavy rain in another!",Outsiders,Other Useful Information,Related - but not informative,"weather in australia is stupid ! heat wave and fires in one place , flooding in another and heavy rain in another !"
20,294213803581796352,It isn't over just yet: http://t.co/dKdwavUJ #FNQ #BigWet,Not labeled,Not labeled,Not related,it is n't over just yet : <url> <hashtag> fnq <allcaps> <allcaps> <hashtag> bigwet
21,294218337645367297,"Ex-Cyclone Oswald flooding continues. Pic from Ingham, Queensland http://t.co/ybN2M4h5",Media,Other Useful Information,Related and informative,"ex-cyclone oswald flooding continues . pic from ingham , queensland <url>"
