,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,tweet_cleaned
0,324681353662709760,"@MontesCb7 Waco, Texas!! I use to live near there, ilived in McKinney, tx near Plano where the D is made lol",Not applicable,Other Useful Information,Related - but not informative,"<user> waco , texas ! <repeat> i use to live near there , ilived in mckinney , tx near plano where the d is made lol"
1,324693550694543361,"Really? Another explosion, now in Texas? What the hell is wrong with people nowadays? Goddamn...",Outsiders,Sympathy and support,Related - but not informative,"really ? another explosion , now in texas ? what the hell is wrong with people nowadays ? goddamn . <repeat>"
2,324694339240460289,"Explosion reported at fertilizer plant in West, McLennan Co.",Outsiders,Other Useful Information,Related and informative,"explosion reported at fertilizer plant in west , mclennan co. ."
3,324694565753851904,RT @Donna4843: triage for injured at Reagan st in West Tx due to plt explosion  Multiple areas on fire including a school. http://t.co/t ...,Outsiders,Infrastructure and utilities,Related and informative,rt <allcaps> <user> : triage for injured at reagan st in west tx due to plt explosion multiple areas on fire including a school . <url> . <repeat>
4,324694993551884288,RT @911BUFF: TEXAS: MASSIVE EXPLOSION U/D - LOCAL HOSPITALS NOTIFIED. EVERY AVAILABLE AMBULANCE DISPATCHED. REPORTS OF CASUALTIES. http: ...,Media,Affected individuals,Related and informative,rt <allcaps> <user> : texas <allcaps> : massive <allcaps> explosion <allcaps> u / d - local <allcaps> hospitals <allcaps> notified <allcaps> . every <allcaps> available <allcaps> ambulance <allcaps> dispatched <allcaps> . reports <allcaps> of <allcaps> casualties <allcaps> . http : . <repeat>
5,324695182303961089,"RT @firehat: Now tuned in to the massive explosion near Waco. Multiple buildings afire, including a school. Hospital in burning area. Un ...",Outsiders,Infrastructure and utilities,Related and informative,"rt <allcaps> <user> : now tuned in to the massive explosion near waco . multiple buildings afire , including a school . hospital in burning area . un . <repeat>"
6,324698151875407872,"RT @BreakingNews: Large explosion reported at fertilizer plant near Waco, Texas - @CBSDFW http://t.co/xOIyCyuxFD",Media,Other Useful Information,Related and informative,"rt <allcaps> <user> : large explosion reported at fertilizer plant near waco , texas - <user> <url>"
7,324700123173122049,RT @OccupyCarlisle: Scanner traffic reports people are trapped in a building near Waco TX after explosion reported at fertilizer plant,Media,Affected individuals,Related and informative,rt <allcaps> <user> : scanner traffic reports people are trapped in a building near waco tx <allcaps> after explosion reported at fertilizer plant
8,324700584571711488,"RT @brianstelter: A big explosion at a fertilizer plant in West, TX tonight. Most dramatic photo from the scene, by @AndyBartee: http:// ...",Outsiders,Affected individuals,Related and informative,"rt <allcaps> <user> : a big explosion at a fertilizer plant in west , tx <allcaps> tonight . most dramatic photo from the scene , by <user> : http : / / . <repeat>"
9,324702421668487169,RT @sudixitca: MT @RT_com BREAKING: Multiple casualties in #Texas fertilizer plant explosion - reports http://t.co/CXHwhVpdVk,Media,Affected individuals,Related and informative,rt <allcaps> <user> : mt <allcaps> <user> breaking <allcaps> : multiple casualties in <hashtag> texas fertilizer plant explosion - reports <url>
