,tweet id, tweet, label,tweet_cleaned
0,'348351442404376578',@Jay1972Jay Nope. Mid 80's. It's off Metallica's 2nd album Ride The Lightning.  84 I believe.,off-topic,<user> nope . mid <number> 's . it 's off metallica 's <number> nd album ride the lightning . <number> i believe .
1,'348167215536803841',Nothing like a :16 second downpour to give us some much needed moisture. http://t.co/HHImyESBPu,off-topic,nothing like a : <number> second downpour to give us some much needed moisture . <url>
2,'348644655786778624',@NelsonTagoona so glad that you missed the floods and saw our sunny side last Monday as we Honoured Mother Earth @ShelleyLarose,on-topic,<user> so glad that you missed the floods and saw our sunny side last monday as we honoured mother earth <user>
3,'350519668815036416',"Party hard , suns down , still warm , lovin life , smile hard , do it right :) ! Summer 2013",off-topic,"party hard , suns down , still warm , lovin life , smile hard , do it right <smile> ! summer <number>"
4,'351446519733432320',@Exclusionzone if you compare yourself to water does that mean I can't live without you?,off-topic,<user> if you compare yourself to water does that mean i ca n't live without you ?
5,'349528038817546241',"and is usually viewed in a #heroic light, recent events notwithstanding.",off-topic,"and is usually viewed in a <hashtag> heroic light , recent events notwithstanding ."
6,'351467497318387713',You thought there was more to us but you knew how it would end --,off-topic,you thought there was more to us but you knew how it would end --
7,'349946283395530752','Canada' appeared on Tuesday 25 at the 18th place in the Top20 of Edmonton's Trends: http://t.co/EuKOxJpvFb,off-topic,` canada ' appeared on tuesday <number> at the <number> th place in the top <number> of edmonton 's trends : <url>
8,'350124639705497601',I #can't tell you how many times I had this realization.,off-topic,i <hashtag> ca n't tell you how many times i had this realization .
9,'351785290446299136',"I'm at Land &amp; Sea (Calgary, Alberta) http://t.co/yEXwlAOXrU",off-topic,"i 'm at land & sea -LRB- calgary , alberta -RRB- <url>"
10,'348247048841224192',@LiseMouskaal 17th Avenue is flooded from McLeod Trail &amp; west to Centre Street. I believe McLeod is flooded from 25th Ave all the way to 3rd,on-topic,<user> <number> th avenue is flooded from mcleod trail & west to centre street . i believe mcleod is flooded from <number> th ave all the way to <number> rd
11,'351088700169535489',Anyone need some American clay. @americanclay for sale. Let me know #yyc #ecoliving #cleanliving # @ http://t.co/dNk9u5oPa6,off-topic,anyone need some american clay . <user> for sale . let me know <hashtag> yyc <hashtag> ecoliving <hashtag> cleanliving # @ <url>
12,'348729640124313600',Heartily chatted with #Kenyans today in the mall.,off-topic,heartily chatted with <hashtag> kenyans today in the mall .
13,'348097369948164097',@Crackmacs same seems like 1/2 of#yyc is shut down.... #yycflood,on-topic,<user> same seems like <number> / <number> of <hashtag> yyc is shut down . <repeat> <hashtag> yycflood
14,'349527874446954497',Tuesday morning update: 4st store still closed due to no power in our community. Closest Bronze Baxx is our Sirocco drive location!,off-topic,tuesday morning update : <number> st store still closed due to no power in our community . closest bronze baxx is our sirocco drive location !
15,'350040683295424512',"Clearly, the mistake was that the souvenir seller came to them with more money than what we paid. The plaza managers ha",off-topic,"clearly , the mistake was that the souvenir seller came to them with more money than what we paid . the plaza managers ha"
16,'351054139016486913',Holy poop its hot today.,off-topic,holy poop its hot today .
17,'348245026935042048',Supreme bug protection. Cooking for a house full of refugees. #floodageddon @ Dunne/Turk Household http://t.co/jMvHHe5xZF,on-topic,supreme bug protection . cooking for a house full of refugees . <hashtag> floodageddon @ dunne / turk household <url>
18,'349413574675927040',That is not a ferret RT @RaggedyAuthor: @BariLeia baby bunny on my lap. http://t.co/HRA54KFtUn,off-topic,that is not a ferret rt <allcaps> <user> : <user> baby bunny on my lap . <url>
19,'349729143031730176',@actioncond good one for the girls that go all the way down #strongtothecore http://t.co/Yk6qAiI9jx,off-topic,<user> good one for the girls that go all the way down <hashtag> strongtothecore <url>
20,'348263625871458304',Lies Okotoks tells itself... The river only floods once every hundred years.,on-topic,lies okotoks tells itself . <repeat> the river only floods once every hundred years .
21,'348435003564240897',"Internal Auditor and Accountant in Calgary, AB #job #hiring http://t.co/lKHdjCmZsR",off-topic,"internal auditor and accountant in calgary , ab <allcaps> <hashtag> job <hashtag> hiring <url>"
22,'351454529239265280',"Floor to ceiling baby, keeping it county &lt;3 #firewood #woodshed #woodstove #keepinitcountry http://t.co/Ty6kP9Gf06",off-topic,"floor to ceiling baby , keeping it county < <number> <hashtag> firewood <hashtag> woodshed <hashtag> woodstove <hashtag> keepinitcountry <url>"
