,tweet id, tweet, label,tweet_cleaned
0,'262596552399396864',I've got enough candles to supply a Mexican family,off-topic,i 've got enough candles to supply a mexican family
1,'263044104500420609',Sandy be soooo mad that she be shattering our doors and shiet #HurricaneSandy,on-topic,sandy be so <elong> mad that she be shattering our doors and shiet <hashtag> hurricanesandy
2,'263309629973491712',@ibexgirl thankfully Hurricane Waugh played it cool and waited this one out. Ready to go at any moment tho.,off-topic,<user> thankfully hurricane waugh played it cool and waited this one out . ready to go at any moment tho .
3,'263422851133079552',@taos you never got that magnificent case of Burgundy I sent you to thank you for your tweets?,off-topic,<user> you never got that magnificent case of burgundy i sent you to thank you for your tweets ?
4,'262404311223504896',"I'm at Mad River Bar &amp; Grille (New York, NY) http://t.co/VSiZrzKP",off-topic,"i 'm at mad river bar & grille -LRB- new york , ny <allcaps> -RRB- <url>"
5,'263101347421888513',Neighborly duties. @Cory_Kennedy arrives to the rescue sporting some spelunking equipment #sandy @ 300 Squad http://t.co/QbpGdm3w,on-topic,neighborly duties . <user> arrives to the rescue sporting some spelunking equipment <hashtag> sandy @ <number> squad <url>
6,'262763437325684736',And that's it until the spring.,off-topic,and that 's it until the spring .
7,'263298821189156865',I don't know how I'm getting back to Jersey since the trains and subways aren't running...,on-topic,i do n't know how i 'm getting back to jersey since the trains and subways are n't running . <repeat>
8,'262813023515865088',"@NaeemPeena We were asked to get off the plane, after checkin and boarding passes",off-topic,"<user> we were asked to get off the plane , after checkin and boarding passes"
9,'262998165282762752',@jaytee_96 you must be crazy! &amp; omg you tweeted something yay lol,off-topic,<user> you must be crazy ! & omg you tweeted something yay lol
10,'262914476989358080',Already flooded so much #SANDY @ Hoboken http://t.co/MPhft4a8,on-topic,already flooded so much <hashtag> sandy <allcaps> <allcaps> @ hoboken <url>
11,'262574187141541888',@eloreeeeeee need me to comeback and finish it since I was supposed to sleep over and then I woulda finished,off-topic,<user> need me to comeback and finish it since i was supposed to sleep over and then i woulda finished
12,'262991999911743490',"On that note, i pray that everyone stays safe, and keeps a positive attitude ! #godisgood",on-topic,"on that note , i pray that everyone stays safe , and keeps a positive attitude ! <hashtag> godisgood"
13,'262767536540643329',@codyfinz my house is creeking... Does that mean she's trying to break in?,on-topic,<user> my house is creeking . <repeat> does that mean she 's trying to break in ?
14,'262984888020504578',My mom just found my little sister screaming out of her window in a random language to animals #onlymyfamily,off-topic,my mom just found my little sister screaming out of her window in a random language to animals <hashtag> onlymyfamily
15,'262970751861260288',RT @FrankIero: Droplets of water is literally falling from the sky. #FrankenstormLIVE!,off-topic,rt <allcaps> <user> : droplets of water is literally falling from the sky . <hashtag> frankenstormlive <allcaps> !
16,'262690350051770368',@NevaTRUST_Again I Dnt No If She Gonna Let Me,off-topic,<user> i dnt no if she gon na let me
17,'263059088869556224',@jennettemccurdy @noahmunck He's got that kinda spec ops rugged looks,off-topic,<user> <user> he 's got that kinda spec ops rugged looks
18,'262653983838048256',debating going home in prep for #sandy,on-topic,debating going home in prep for <hashtag> sandy
19,'262998057216516096',"@viamadison Thanks, babe. We all appreciate it. :) x",off-topic,"<user> thanks , babe . we all appreciate it . <smile> x"
20,'262768220375756800',I can't taste my damn food .,off-topic,i ca n't taste my damn food .
21,'262771779553087488',By 11am it's going to be 100% chance of rain #HurricaneSandy,on-topic,by <number> am it 's going to be <number> % chance of rain <hashtag> hurricanesandy
22,'262344750932299777',Big Daddy Deco ready for this Halloween party http://t.co/grKxmXPV,off-topic,big daddy deco ready for this halloween party <url>
23,'263090063473254400',@MSLWILLSEE loll I don't know your twitter name anymore it doesn't popup when I type for name,off-topic,<user> loll i do n't know your twitter name anymore it does n't popup when i type for name
24,'262729320777256961',@lisanewmn I do it all the time. Don't hate me! :),off-topic,<user> i do it all the time . do n't hate me ! <smile>
25,'263047213490507776',@newscaster we are 5 blocks from the water. First two blocks were evacuated. Sounds like a train just went by. Stay safe! Thanks.,on-topic,<user> we are <number> blocks from the water . first two blocks were evacuated . sounds like a train just went by . stay safe ! thanks .
26,'263041963757031425',"It's crazy out there, not gonna lie I'm kind of scared.",on-topic,"it 's crazy out there , not gon na lie i 'm kind of scared ."
27,'263160409115222016',@israilov1012 god bless them ! Lmao the wind calmed down a little so thats good,on-topic,<user> god bless them ! lmao the wind calmed down a little so thats good
